category,url
white jeans,https://www.amazon.in/s?k=white+jeans
colorblocked shirt,https://www.amazon.in/s?k=colorblocked+shirt
oversized t-shirt,https://www.amazon.in/s?k=oversized+t-shirt
cargo pants,https://www.amazon.in/s?k=cargo+pants
denim jacket,https://www.amazon.in/s?k=denim+jacket
black hoodie,https://www.amazon.in/s?k=black+hoodie
floral dress,https://www.amazon.in/s?k=floral+dress
black t-shirt,https://www.amazon.in/s?k=black+t-shirt
blue t-shirt,https://www.amazon.in/s?k=blue+t-shirt
biege cargo,https://www.amazon.in/s?k=biege+cargo
black denim jeans,https://www.amazon.in/s?k=black+denim+jeans
blue jacket,https://www.amazon.in/s?k=blue+jacket
red shirt,https://www.amazon.in/s?k=red+shirt
colourblocked shirt,https://www.amazon.in/s?k=colourblocked+shirt
plain tshirt,https://www.amazon.in/s?k=plain+tshirt
plain shirt,https://www.amazon.in/s?k=plain+shirt
